p: 359.133430581, r: 84.1012462316, y: 184.554843243
p: 0.393104387326, r: 84.4551798042, y: 183.854216098
p: 1.58939675925, r: 84.6915180098, y: 183.356882704
p: 2.40716677084, r: 84.9899426351, y: 183.116173177
p: 3.09489339573, r: 85.1697951763, y: 182.980566601
p: 3.64119903286, r: 85.5724484882, y: 182.841462969
p: 3.8813348237, r: 86.0968840731, y: 182.794170739
p: 4.11573837827, r: 86.6879549835, y: 182.876802368
p: 4.13593311322, r: 87.53957029, y: 183.109985026
p: 3.93838355185, r: 88.5651778353, y: 183.340995684
p: 3.56913669513, r: 89.6317596856, y: 183.530260226
p: 3.04598390518, r: 90.7217964054, y: 183.877069911
p: 2.43405124919, r: 91.8549521095, y: 184.403937043
p: 1.7890014605, r: 93.0552622334, y: 185.004788785
p: 1.16076994543, r: 94.0944550251, y: 185.445718477
p: 0.553704759714, r: 95.044185999, y: 185.713707779
p: 0.0634648504475, r: 95.8267002816, y: 185.960263948
p: 359.412741136, r: 96.490164367, y: 186.22067174
p: 358.60142688, r: 97.0219765562, y: 186.485423533
p: 357.87842521, r: 97.5019202888, y: 186.800978272
p: 357.049708326, r: 97.8469063136, y: 187.124824861
p: 356.37131985, r: 98.1174842576, y: 187.524377268
p: 355.781972709, r: 98.0764758018, y: 187.900051332
p: 355.34459813, r: 97.7674575532, y: 188.353671516
p: 355.002324971, r: 97.1390869797, y: 188.87085344
p: 354.751701425, r: 96.1770958162, y: 189.499367447
p: 354.702578277, r: 94.8769966285, y: 190.20354629
p: 354.831964258, r: 93.5491532123, y: 190.784358256
p: 355.02323901, r: 92.1450029228, y: 191.171493379
p: 355.213297989, r: 90.5368895242, y: 191.55029567
p: 355.418554138, r: 88.9912108848, y: 191.961964832
p: 355.702608472, r: 87.5510450078, y: 192.420325166
p: 355.748613211, r: 85.62017102, y: 192.776533192
p: 355.746530003, r: 84.160149783, y: 192.970018791
p: 355.714791822, r: 83.1039566505, y: 193.049344608
p: 355.697230552, r: 82.3242017643, y: 193.196289298
p: 355.654275919, r: 81.8331043328, y: 193.0180077
p: 355.631474613, r: 81.6623632639, y: 192.813867006
